"Class"	"SAL"	"SAL"	"SAL"	"SAL"	"SAL"	"SAL"	"SAL"	"CAQ"	"CAQ"	"CAQ"	"CAQ"	"CAQ"	"CAQ"	"CAQ"
"Samples"	"SC56"	"SC55"	"SC54"	"SC53"	"SC52"	"SC46"	"SC41"	"CC39"	"CC28"	"CC25"	"CC15"	"CC14"	"CC09"	"CC07"
"k__Viruses|p__Uroviricota|c__Caudoviricetes|o__Caudovirales|f__Siphoviridae|g__unclassified|s__Abalone shriveling syndrome-associated virus"	"0.0"	"1.0"	"2.0"	"2.0"	"3.0"	"31.0"	"1.0"	"47.0"	"32.0"	"4.0"	"6.0"	"5.0"	"80.0"	"3.0"
"k__Viruses|p__unclassified|c__unclassified|o__unclassified|f__unclassified|g__unclassified|s__Acanthamoeba castellanii medusavirus"	"107.0"	"10.0"	"3.0"	"0.0"	"2.0"	"89.0"	"0.0"	"99.0"	"71.0"	"0.0"	"7.0"	"23.0"	"47.0"	"32.0"
"k__Viruses|p__unclassified|c__unclassified|o__unclassified|f__unclassified|g__unclassified|s__Acanthamoeba castellanii medusavirus"	"0.0"	"93.0"	"34.0"	"2.0"	"13.0"	"7.0"	"16.0"	"1.0"	"0.0"	"13.0"	"41.0"	"8.0"	"0.0"	"29.0"
"k__Viruses|p__unclassified|c__unclassified|o__unclassified|f__unclassified|g__unclassified|s__Acanthamoeba castellanii medusavirus"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"168.0"	"14.0"	"2.0"	"0.0"	"1.0"	"0.0"	"0.0"	"0.0"	"0.0"
"k__Viruses|p__unclassified|c__unclassified|o__unclassified|f__unclassified|g__unclassified|s__Acanthamoeba castellanii medusavirus"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"1.0"	"87.0"	"8.0"	"37.0"	"10.0"	"0.0"	"23.0"
"k__Viruses|p__unclassified|c__unclassified|o__unclassified|f__unclassified|g__unclassified|s__Acanthamoeba castellanii medusavirus"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"376.0"	"105.0"	"6.0"	"2.0"	"10.0"	"0.0"	"0.0"	"0.0"	"0.0"
"k__Viruses|p__unclassified|c__unclassified|o__unclassified|f__unclassified|g__unclassified|s__Acanthamoeba castellanii medusavirus"	"0.0"	"0.0"	"1.0"	"0.0"	"0.0"	"2479.0"	"458.0"	"24.0"	"26.0"	"37.0"	"2.0"	"2.0"	"0.0"	"3.0"
"k__Viruses|p__unclassified|c__unclassified|o__unclassified|f__unclassified|g__unclassified|s__Acanthamoeba castellanii medusavirus"	"17.0"	"31.0"	"40.0"	"30.0"	"7.0"	"65.0"	"263.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"2.0"	"0.0"
"k__Viruses|p__unclassified|c__unclassified|o__unclassified|f__unclassified|g__unclassified|s__Acanthamoeba castellanii medusavirus"	"12.0"	"0.0"	"0.0"	"0.0"	"0.0"	"0.0"	"19.0"	"19.0"	"0.0"	"4.0"	"14.0"	"1.0"	"19.0"	"9.0"
"k__Viruses|p__unclassified|c__unclassified|o__unclassified|f__unclassified|g__unclassified|s__Acanthamoeba castellanii medusavirus"	"0.0"	"105.0"	"26.0"	"24.0"	"26.0"	"8.0"	"2.0"	"0.0"	"0.0"	"35.0"	"51.0"	"93.0"	"4.0"	"35.0"
